template_key,template_name,section_key,section_name,prompt
vet-sick-visit,Sick Visit,vet-signalment,Patient Information,"Extract patient signalment: species, breed, age, sex (intact/neutered), weight, and name. Format as a concise one-line summary. Example: ""Max, 7-year-old male neutered Labrador Retriever, 32kg"""
vet-sick-visit,Sick Visit,vet-chief-complaint,Presenting Complaint,"Summarize the primary reason for the visit in 1-2 sentences from the pet owner's perspective. Include duration of symptoms. Use objective language. Example: ""Owner reports 3-day history of vomiting and decreased appetite."""
vet-sick-visit,Sick Visit,vet-history,History,"Document relevant history as bullet points. Include: Onset and progression of current symptoms, Associated clinical signs, Changes in appetite/water intake/urination/defecation, Previous similar episodes, Current medications and supplements, Vaccination status, Relevant travel or exposure history"
vet-sick-visit,Sick Visit,vet-physical-exam,Physical Examination,"Document physical examination findings using standard veterinary terminology. Include: General appearance and mentation, Vital signs (temperature, heart rate, respiratory rate), Body condition score (1-9), Hydration status, Abnormalities by body system. Format as a structured list. Note normal findings as ""WNL"" where appropriate."
vet-sick-visit,Sick Visit,vet-diagnostics,Diagnostics,"List diagnostic tests performed or recommended. Format each as: Test name, Result (if available), Interpretation. If no diagnostics were performed, state ""No diagnostics performed at this visit"" or list recommended tests with rationale."
vet-sick-visit,Sick Visit,vet-assessment,Assessment,"Provide clinical assessment including: 1) Most likely diagnosis or top differential diagnoses ranked by probability, 2) Brief reasoning based on history and examination findings, 3) Rule-outs to consider. Use standard veterinary diagnostic terminology."
vet-sick-visit,Sick Visit,vet-plan,Treatment Plan,"Document the treatment plan. Include: Medications (drug name, dose mg/kg, route, frequency, duration), Procedures performed, Dietary recommendations, Activity restrictions, Monitoring instructions, Hospitalization if applicable. Format medications as: ""Drug 10mg/kg PO BID x 7 days"""
vet-sick-visit,Sick Visit,vet-client-instructions,Discharge Instructions,"Write clear discharge instructions for the pet owner in plain language. Include: How to give medications, What to feed and when, Activity level (rest, leash walks only, etc.), Warning signs that need immediate veterinary attention, When to return for recheck. Avoid medical jargon. Be specific and actionable."
vet-wellness-exam,Wellness Exam,vet-wellness-signalment,Patient Information,"Extract patient signalment: species, breed, age, sex (intact/neutered), weight, and name. Note weight change from previous visit if mentioned. Format as one-line summary."
vet-wellness-exam,Wellness Exam,vet-wellness-history,Wellness History,"Document preventive care and lifestyle history. Include: Current diet (brand, amount, frequency), Exercise and activity level, Dental care at home, Indoor/outdoor status, Other pets in household, Any owner concerns or questions. Format as bullet points."
vet-wellness-exam,Wellness Exam,vet-wellness-exam,Physical Examination,"Document complete nose-to-tail physical examination. Include findings for: Eyes, ears, nose, Oral cavity and dental grade (0-4), Lymph nodes, Heart and lungs (auscultation), Abdominal palpation, Musculoskeletal, Skin and coat, Body condition score (1-9). Note abnormalities clearly. Use ""WNL"" for normal findings."
vet-wellness-exam,Wellness Exam,vet-vaccinations,Vaccinations,"Document vaccines for this visit: Vaccines administered today (name, manufacturer if mentioned, site), Vaccines due but declined (with reason), Vaccines due at next visit. For dogs: DHPP, Rabies, Bordetella, Leptospirosis, Lyme, Canine Influenza. For cats: FVRCP, Rabies, FeLV"
vet-wellness-exam,Wellness Exam,vet-preventives,Parasite Prevention,"Document parasite prevention status: Heartworm test (date and result), Heartworm prevention (product and compliance), Flea/tick prevention (product and compliance), Intestinal parasite control, Fecal test (date and result if mentioned). Note any gaps in prevention or compliance concerns."
vet-wellness-exam,Wellness Exam,vet-wellness-recommendations,Recommendations,"Summarize wellness recommendations discussed: Dental care needs (dental grade, cleaning recommended?), Weight management if applicable, Age-appropriate screening tests (senior bloodwork, etc.), Spay/neuter recommendation if intact, Next wellness visit timing. Be specific and actionable."
vet-surgery,Surgery,vet-surgery-signalment,Patient Information,"Extract patient signalment: species, breed, age, sex, weight, name. Include ASA classification if mentioned (I-V). Note any pre-existing conditions relevant to anesthesia."
vet-surgery,Surgery,vet-surgical-indication,Surgical Indication,"Document the reason for surgery: Pre-operative diagnosis, Clinical findings supporting surgical decision, Diagnostic results (radiographs, ultrasound, bloodwork), Urgency (elective, urgent, emergency)"
vet-surgery,Surgery,vet-preop-exam,Pre-operative Assessment,"Document pre-anesthetic evaluation: Physical examination findings, Pre-operative bloodwork results (PCV, TP, chemistry, etc.), NPO status confirmed, ASA classification (I-V), Anesthetic risk factors identified, Owner consent obtained"
vet-surgery,Surgery,vet-anesthesia,Anesthesia Record,"Document anesthetic protocol: Premedication (drugs, doses, route, time), Induction (drugs, doses, route, time), Maintenance (agent and percentage), IV fluids (type and rate), Monitoring (HR, RR, SpO2, BP, temperature), Any complications or interventions. Format drugs as: ""Drug 0.1mg/kg IV"""
vet-surgery,Surgery,vet-procedure,Surgical Procedure,"Document the surgical procedure: Procedure name, Surgical approach, Intraoperative findings, Technique description, Materials used (suture type and size, implants), Estimated blood loss, Complications if any, Surgery duration. Use standard surgical terminology."
vet-surgery,Surgery,vet-recovery,Recovery,"Document anesthetic recovery: Extubation time, Recovery quality (smooth, rough, dysphoric), Time to sternal recumbency, Time to standing, Post-op vital signs, Pain assessment score, Immediate post-op medications given"
